district,crop_type,season,rainfall_mm,temperature_c,reservoir_level,population_density,irrigated_area_ha,groundwater_depth_m,soil_moisture_index,evapotranspiration_mm,industrial_usage_mcm,water_demand_mcm
Salem,Pulses,Zaid (Apr-May),234.7,38.6,0.228,618.0,502.0,41.3,0.457,12.0,3.66,79.64
Mayiladuthurai,Groundnut,Kharif (Jun-Oct),1627.9,30.9,0.92,614.0,14310.0,57.8,0.87,12.0,2.36,583.07
Tirupathur,Paddy (Kuruvai),Year-round,1034.1,28.8,0.594,514.0,9095.0,73.6,0.641,12.0,3.91,1037.74
Tirupattur,Paddy (Kuruvai),Kharif (Jun-Oct),1348.6,26.6,0.893,486.0,2597.0,51.6,0.692,12.0,1.91,276.11
Krishnagiri,Groundnut,Kharif (Jun-Oct),1404.5,33.3,0.579,364.0,6309.0,27.5,0.803,12.0,2.97,272.96
Erode,Paddy (Kuruvai),Kharif (Jun-Oct),1108.0,30.3,0.898,542.0,13214.0,51.9,0.599,12.0,4.16,1375.54
Sivaganga,Tomato,Kharif (Jun-Oct),1067.3,32.1,0.339,383.0,6310.0,52.3,0.623,12.0,1.01,400.64
Tirupur,Coconut,Kharif (Jun-Oct),1122.8,31.6,0.486,894.0,9537.0,59.2,0.702,12.0,4.04,772.57
Mayiladuthurai,Pulses,Kharif (Jun-Oct),1667.5,32.3,0.887,609.0,2542.0,17.1,0.754,12.0,3.76,46.58
Chennai,Onion,Zaid (Apr-May),382.3,39.1,0.363,26561.0,8829.0,80.0,0.479,12.0,10.73,1350.38
Tiruvannamalai,Coconut,Rabi (Nov-Mar),813.5,27.3,0.818,530.0,5950.0,58.0,0.579,12.0,3.39,502.43
Kallakurichi,Onion,Year-round,1018.4,30.0,0.473,357.0,8692.0,73.1,0.6,12.0,0.48,399.52
Nilgiris,Groundnut,Year-round,2447.0,28.9,0.609,195.0,4598.0,33.1,0.95,12.0,2.7,214.16
Kanchipuram,Banana,Rabi (Nov-Mar),889.8,28.1,0.754,1050.0,10747.0,80.0,0.512,12.0,5.31,1445.98
Karur,Vegetables,Kharif (Jun-Oct),1016.3,33.5,0.406,466.0,3946.0,52.4,0.623,12.0,0.32,228.62
Mayiladuthurai,Sugarcane,Year-round,1138.5,28.6,0.809,640.0,2213.0,39.3,0.666,12.0,4.35,365.83
Cuddalore,Sugarcane,Kharif (Jun-Oct),1797.3,33.5,0.507,650.0,5814.0,11.4,0.892,12.0,0.25,961.18
Madurai,Banana,Rabi (Nov-Mar),492.3,26.8,0.705,982.0,14669.0,67.2,0.519,12.0,0.31,2255.03
Dharmapuri,Vegetables,Rabi (Nov-Mar),618.1,24.0,0.507,295.0,6598.0,38.1,0.511,11.8,2.78,522.88
Thiruvarur,Banana,Zaid (Apr-May),261.8,38.1,0.679,439.0,13721.0,49.4,0.36,12.0,3.43,2867.19
Chengalpattu,Tapioca,Zaid (Apr-May),255.0,37.3,0.645,1073.0,10723.0,61.1,0.408,12.0,2.41,1407.3
Ranipet,Vegetables,Kharif (Jun-Oct),1518.2,28.7,0.657,754.0,13763.0,51.7,0.909,12.0,1.13,695.62
Tirupattur,Tapioca,Zaid (Apr-May),198.7,35.8,0.669,465.0,12916.0,80.0,0.41,12.0,1.93,1649.43
Tirunelveli,Paddy (Kuruvai),Zaid (Apr-May),165.7,35.7,0.218,465.0,3470.0,58.3,0.255,12.0,3.7,914.98
Chennai,Millets,Rabi (Nov-Mar),939.2,24.2,0.429,26555.0,6829.0,58.2,0.51,12.0,10.68,819.6
Coimbatore,Millets,Kharif (Jun-Oct),989.8,32.1,0.84,757.0,6217.0,76.1,0.622,12.0,3.1,195.93
Mayiladuthurai,Paddy (Samba),Kharif (Jun-Oct),1618.1,32.7,0.882,600.0,14193.0,46.2,0.887,12.0,1.49,1803.71
Tirupur,Mango,Rabi (Nov-Mar),467.5,23.7,0.35,928.0,1936.0,53.2,0.57,11.76,1.22,164.83
Nilgiris,Mango,Kharif (Jun-Oct),3654.3,33.0,0.738,243.0,11959.0,3.0,0.95,12.0,2.84,601.11
Chengalpattu,Tapioca,Kharif (Jun-Oct),1738.9,31.6,0.803,1046.0,14804.0,33.9,0.811,12.0,2.3,835.67
Tirunelveli,Paddy (Kuruvai),Kharif (Jun-Oct),947.4,34.1,0.452,424.0,1943.0,42.9,0.537,12.0,2.84,251.39
Cuddalore,Tapioca,Year-round,1155.1,31.0,0.364,637.0,5045.0,58.5,0.66,12.0,2.33,354.66
Erode,Mango,Rabi (Nov-Mar),440.6,22.9,0.692,569.0,5012.0,80.0,0.394,11.55,3.8,396.4
Ranipet,Paddy (Kuruvai),Kharif (Jun-Oct),1428.6,33.9,0.632,685.0,2962.0,48.4,0.839,12.0,2.41,347.06
Pudukkottai,Tomato,Zaid (Apr-May),263.2,37.0,0.238,300.0,4673.0,53.4,0.339,12.0,2.81,567.86
Dharmapuri,Turmeric,Year-round,971.2,27.7,0.637,307.0,8323.0,63.6,0.681,12.0,3.95,578.03
Kanchipuram,Coconut,Rabi (Nov-Mar),1024.4,27.3,0.744,1095.0,821.0,55.6,0.623,12.0,5.05,101.94
Cuddalore,Mango,Kharif (Jun-Oct),1837.2,34.6,0.478,639.0,3595.0,37.8,0.867,12.0,3.36,220.61
Tiruchirappalli,Pulses,Rabi (Nov-Mar),549.8,26.8,0.64,756.0,11338.0,40.3,0.469,12.0,2.39,508.3
Dharmapuri,Vegetables,Year-round,867.0,32.5,0.541,290.0,10057.0,30.4,0.695,12.0,1.72,523.86
Villupuram,Turmeric,Zaid (Apr-May),419.8,35.9,0.326,399.0,6072.0,39.6,0.451,12.0,1.6,852.59
Cuddalore,Pulses,Rabi (Nov-Mar),781.4,25.2,0.383,607.0,6031.0,49.0,0.517,11.79,3.29,294.61
Theni,Mango,Year-round,998.1,32.9,0.469,403.0,8560.0,72.2,0.667,12.0,1.02,464.24
Dindigul,Groundnut,Zaid (Apr-May),75.2,37.0,0.451,351.0,9590.0,53.1,0.346,12.0,1.26,1039.35
Thiruvarur,Onion,Kharif (Jun-Oct),1571.3,30.8,0.982,514.0,11092.0,36.2,0.861,12.0,3.59,451.02
Mayiladuthurai,Millets,Kharif (Jun-Oct),1564.5,32.3,0.879,593.0,14416.0,62.1,0.818,12.0,3.63,382.81
Tirupur,Paddy (Samba),Kharif (Jun-Oct),1007.9,33.3,0.509,866.0,8623.0,36.1,0.622,12.0,2.37,1243.98
Villupuram,Pulses,Rabi (Nov-Mar),669.3,23.9,0.205,434.0,11447.0,44.1,0.533,11.74,3.01,623.23
Chengalpattu,Cotton,Year-round,1386.6,32.4,0.844,1093.0,779.0,23.4,0.827,12.0,3.62,77.15
Karur,Banana,Kharif (Jun-Oct),1248.9,28.2,0.556,378.0,7802.0,30.5,0.641,12.0,1.07,823.12
Erode,Millets,Year-round,724.6,28.6,0.811,529.0,3995.0,57.9,0.537,12.0,3.47,130.32
Tiruchirappalli,Coconut,Kharif (Jun-Oct),1192.9,30.2,0.868,801.0,2881.0,24.2,0.639,12.0,1.9,220.71
Theni,Paddy (Samba),Year-round,770.9,29.7,0.451,404.0,4413.0,52.2,0.531,12.0,4.41,715.7
Tirupattur,Sugarcane,Year-round,964.2,30.2,0.746,476.0,6208.0,42.4,0.66,12.0,2.02,945.72
Ariyalur,Groundnut,Zaid (Apr-May),245.9,37.5,0.427,288.0,10339.0,72.1,0.438,12.0,0.59,997.55
Dharmapuri,Paddy (Kuruvai),Zaid (Apr-May),118.3,35.9,0.454,326.0,6256.0,74.8,0.344,12.0,2.52,1728.14
Vellore,Paddy (Kuruvai),Rabi (Nov-Mar),674.6,25.7,0.222,806.0,10916.0,65.2,0.571,12.0,3.52,1980.9
Coimbatore,Onion,Rabi (Nov-Mar),506.0,26.9,0.77,743.0,11617.0,51.1,0.45,12.0,2.33,591.69
Sivaganga,Millets,Zaid (Apr-May),314.2,37.0,0.287,361.0,9775.0,70.1,0.437,12.0,4.53,549.64
Tenkasi,Coconut,Zaid (Apr-May),398.1,38.3,0.794,387.0,7594.0,78.1,0.413,12.0,0.21,1051.01
Tirupattur,Groundnut,Rabi (Nov-Mar),485.1,24.8,0.631,481.0,13446.0,80.0,0.454,12.0,0.86,1001.18
Perambalur,Tapioca,Zaid (Apr-May),334.1,39.8,0.309,274.0,2014.0,63.3,0.356,12.0,1.01,239.07
Coimbatore,Onion,Year-round,864.1,29.2,0.917,772.0,9075.0,57.8,0.673,12.0,2.14,366.16
Vellore,Paddy (Kuruvai),Rabi (Nov-Mar),699.8,27.8,0.347,819.0,6935.0,46.7,0.529,12.0,5.11,1192.2
Chengalpattu,Mango,Year-round,1340.5,30.8,0.819,1097.0,12818.0,64.6,0.821,12.0,1.23,631.72
Erode,Mango,Zaid (Apr-May),243.5,38.0,0.652,537.0,9656.0,44.8,0.407,12.0,1.29,973.07
Nagapattinam,Millets,Year-round,1450.7,28.4,0.673,570.0,13410.0,69.8,0.82,12.0,0.18,379.49
Thoothukudi,Paddy (Kuruvai),Zaid (Apr-May),232.9,35.1,0.552,464.0,1728.0,65.9,0.429,12.0,1.24,390.44
Tirupattur,Cotton,Rabi (Nov-Mar),552.8,27.7,0.681,523.0,1945.0,80.0,0.405,12.0,1.19,172.82
Thanjavur,Millets,Zaid (Apr-May),244.7,37.6,0.696,718.0,1877.0,57.6,0.446,12.0,0.61,134.72
Mayiladuthurai,Sugarcane,Rabi (Nov-Mar),784.8,22.4,0.725,641.0,12395.0,39.4,0.546,11.09,2.6,2636.08
Salem,Turmeric,Year-round,1017.7,25.3,0.452,636.0,3984.0,39.1,0.663,12.0,3.68,300.5
Namakkal,Paddy (Samba),Zaid (Apr-May),147.9,36.3,0.273,545.0,10782.0,46.7,0.393,12.0,1.42,3657.4
Coimbatore,Maize,Year-round,591.5,30.9,0.777,779.0,14676.0,65.9,0.454,12.0,2.18,729.22
Virudhunagar,Pulses,Kharif (Jun-Oct),905.3,32.4,0.672,507.0,634.0,44.1,0.618,12.0,1.42,29.06
Dharmapuri,Millets,Year-round,813.6,28.6,0.559,335.0,9185.0,42.0,0.588,12.0,0.27,290.22
Tirupattur,Pulses,Zaid (Apr-May),318.0,38.8,0.612,484.0,12557.0,64.1,0.376,12.0,2.71,768.36
Krishnagiri,Maize,Year-round,1059.8,29.5,0.563,345.0,9212.0,32.6,0.587,12.0,2.65,437.02
Tirupattur,Tomato,Zaid (Apr-May),195.6,39.4,0.574,471.0,10995.0,77.9,0.333,12.0,3.23,1318.6
Nagapattinam,Tapioca,Kharif (Jun-Oct),1803.2,36.2,0.827,522.0,13655.0,23.5,0.87,12.0,0.85,751.47
Tirunelveli,Onion,Zaid (Apr-May),172.9,38.5,0.225,497.0,695.0,52.8,0.412,12.0,4.35,85.55
Mayiladuthurai,Vegetables,Kharif (Jun-Oct),1665.4,31.0,0.895,595.0,2821.0,17.1,0.782,12.0,3.69,146.18
Chengalpattu,Turmeric,Zaid (Apr-May),372.5,39.9,0.653,1108.0,7366.0,78.6,0.455,12.0,4.96,1035.07
Thanjavur,Paddy (Samba),Kharif (Jun-Oct),1523.5,34.7,0.983,694.0,11157.0,17.9,0.804,12.0,3.69,1400.96
Mayiladuthurai,Sugarcane,Year-round,1288.9,32.2,0.876,611.0,2686.0,34.6,0.727,12.0,1.38,418.47
Karur,Tomato,Zaid (Apr-May),26.9,38.5,0.194,475.0,5585.0,59.5,0.252,12.0,0.32,832.43
Tiruvannamalai,Vegetables,Kharif (Jun-Oct),1452.3,34.3,0.913,579.0,891.0,65.4,0.845,12.0,3.97,36.87
Thiruvarur,Tapioca,Zaid (Apr-May),461.3,38.5,0.676,449.0,12638.0,66.0,0.443,12.0,4.34,1366.06
Erode,Pulses,Kharif (Jun-Oct),1019.2,33.9,0.893,545.0,6653.0,75.0,0.513,12.0,3.92,201.98
Thiruvarur,Pulses,Zaid (Apr-May),503.7,34.7,0.774,487.0,12551.0,80.0,0.468,12.0,1.47,652.87
Thoothukudi,Maize,Rabi (Nov-Mar),466.4,29.7,0.621,467.0,8837.0,45.4,0.506,12.0,2.61,493.96
Sivaganga,Sugarcane,Year-round,804.0,28.2,0.32,367.0,4050.0,60.5,0.569,12.0,2.16,717.14
Mayiladuthurai,Cotton,Kharif (Jun-Oct),1627.6,30.9,0.905,585.0,1629.0,23.0,0.784,12.0,3.54,76.28
Salem,Pulses,Zaid (Apr-May),306.0,37.1,0.366,651.0,2620.0,80.0,0.392,12.0,4.68,158.92
Ranipet,Tomato,Kharif (Jun-Oct),1413.9,28.5,0.56,727.0,13035.0,50.1,0.71,12.0,2.13,711.13
Chennai,Turmeric,Year-round,1563.8,27.3,0.538,26527.0,788.0,43.5,0.87,12.0,10.06,588.39
Thanjavur,Onion,Kharif (Jun-Oct),1565.2,30.2,0.987,710.0,4900.0,56.8,0.849,12.0,1.46,197.1
Tirupattur,Turmeric,Rabi (Nov-Mar),758.0,26.2,0.737,442.0,2546.0,36.8,0.546,12.0,0.8,164.34
Tirupattur,Turmeric,Zaid (Apr-May),229.5,35.4,0.65,508.0,918.0,63.2,0.315,12.0,3.68,127.98
Karur,Groundnut,Rabi (Nov-Mar),433.5,29.3,0.347,426.0,8052.0,68.8,0.367,12.0,0.18,596.34
Ranipet,Mango,Kharif (Jun-Oct),1481.5,32.6,0.644,730.0,10183.0,52.0,0.846,12.0,2.15,534.06
Coimbatore,Sugarcane,Kharif (Jun-Oct),1004.4,31.2,0.996,738.0,11725.0,26.6,0.583,12.0,4.88,1662.47
Nagapattinam,Vegetables,Kharif (Jun-Oct),1923.1,32.6,0.83,545.0,5794.0,31.7,0.95,12.0,1.33,236.39
Tenkasi,Tomato,Zaid (Apr-May),334.6,41.1,0.797,419.0,3722.0,46.4,0.334,12.0,1.31,393.0
Cuddalore,Onion,Rabi (Nov-Mar),963.4,27.3,0.375,627.0,6138.0,32.3,0.617,12.0,3.7,342.55
Tenkasi,Pulses,Zaid (Apr-May),382.7,40.0,0.756,445.0,10719.0,55.0,0.484,12.0,1.71,668.51
Thoothukudi,Sugarcane,Rabi (Nov-Mar),412.5,23.4,0.607,485.0,12190.0,80.0,0.427,12.0,3.94,2610.31
Tirupathur,Onion,Rabi (Nov-Mar),752.6,27.9,0.532,518.0,4846.0,45.8,0.553,12.0,4.31,251.59
Tirupathur,Maize,Year-round,891.7,31.1,0.636,523.0,3537.0,79.4,0.597,12.0,2.27,170.87
Thiruvarur,Banana,Zaid (Apr-May),244.9,39.0,0.812,449.0,3857.0,80.0,0.423,12.0,2.82,796.37
Nagapattinam,Paddy (Kuruvai),Kharif (Jun-Oct),1762.5,33.4,0.841,566.0,12298.0,10.0,0.95,12.0,0.95,1301.62
Karur,Paddy (Samba),Zaid (Apr-May),244.0,38.0,0.324,440.0,13338.0,77.4,0.439,12.0,2.76,3958.6
Pudukkottai,Turmeric,Zaid (Apr-May),217.7,38.1,0.27,309.0,8944.0,80.0,0.362,12.0,1.95,1427.6
Tirupur,Paddy (Samba),Kharif (Jun-Oct),1012.4,35.3,0.47,899.0,11889.0,50.0,0.644,12.0,4.76,1731.07
Perambalur,Maize,Year-round,828.9,31.7,0.532,305.0,10950.0,51.6,0.6,12.0,3.95,547.04
Tiruvannamalai,Cotton,Zaid (Apr-May),175.4,40.2,0.748,553.0,11659.0,80.0,0.357,12.0,3.7,1418.97
Kanniyakumari,Maize,Rabi (Nov-Mar),1156.8,26.3,0.473,1189.0,4823.0,30.1,0.703,12.0,4.43,315.19
Villupuram,Turmeric,Zaid (Apr-May),443.3,40.6,0.279,430.0,4017.0,71.7,0.45,12.0,3.1,566.39
Thanjavur,Cotton,Zaid (Apr-May),339.0,37.5,0.71,720.0,8541.0,80.0,0.346,12.0,3.28,971.36
Chengalpattu,Cotton,Rabi (Nov-Mar),1005.9,30.1,0.764,1090.0,7647.0,59.7,0.6,12.0,1.25,509.77
Coimbatore,Groundnut,Zaid (Apr-May),191.9,37.1,0.758,804.0,10001.0,59.9,0.326,12.0,0.97,871.01
Kanniyakumari,Sugarcane,Year-round,1682.0,29.6,0.481,1237.0,2980.0,58.7,0.863,12.0,3.38,528.24
Perambalur,Pulses,Rabi (Nov-Mar),487.3,23.4,0.439,220.0,13636.0,67.4,0.478,11.56,5.03,670.91
Coimbatore,Millets,Kharif (Jun-Oct),788.9,30.6,0.854,756.0,697.0,51.9,0.523,12.0,0.43,21.32
Thiruvarur,Coconut,Rabi (Nov-Mar),714.3,23.5,0.711,455.0,4044.0,64.6,0.596,11.09,4.88,446.72
Vellore,Paddy (Samba),Year-round,1107.4,27.8,0.394,814.0,3114.0,26.3,0.646,12.0,1.35,472.14
Thanjavur,Sugarcane,Year-round,1093.5,29.5,0.898,690.0,7692.0,42.3,0.581,12.0,4.34,1144.88
Vellore,Paddy (Kuruvai),Year-round,835.6,31.3,0.356,821.0,3826.0,63.8,0.668,12.0,3.51,564.42
Vellore,Pulses,Rabi (Nov-Mar),684.1,26.7,0.183,722.0,9195.0,62.5,0.462,12.0,0.85,486.66
Dindigul,Mango,Rabi (Nov-Mar),595.0,21.9,0.765,380.0,7147.0,79.8,0.452,11.19,1.85,457.75
Mayiladuthurai,Paddy (Samba),Year-round,1108.1,26.2,0.852,580.0,11601.0,71.4,0.618,12.0,2.34,1503.2
Thiruvarur,Tapioca,Zaid (Apr-May),311.1,35.0,0.662,474.0,6575.0,80.0,0.375,12.0,0.59,777.65
Tiruchirappalli,Tomato,Kharif (Jun-Oct),1254.0,31.3,0.875,773.0,6523.0,30.2,0.703,12.0,4.53,345.07
Kallakurichi,Groundnut,Rabi (Nov-Mar),483.0,26.2,0.465,401.0,10319.0,73.7,0.443,12.0,1.38,815.64
Tiruvannamalai,Tapioca,Year-round,975.7,33.4,0.909,570.0,2542.0,49.9,0.605,12.0,4.34,154.02
Pudukkottai,Groundnut,Year-round,869.3,33.7,0.436,319.0,4070.0,75.1,0.49,12.0,3.85,186.69
Mayiladuthurai,Sugarcane,Year-round,1195.0,27.8,0.914,671.0,4833.0,73.4,0.682,12.0,4.7,708.94
Nagapattinam,Turmeric,Year-round,1265.4,31.0,0.747,556.0,2488.0,49.3,0.621,12.0,3.41,161.41
Virudhunagar,Paddy (Samba),Rabi (Nov-Mar),467.9,24.6,0.616,521.0,13265.0,38.5,0.53,12.0,0.74,2548.99
Chennai,Tomato,Year-round,1391.6,30.2,0.56,26546.0,10297.0,60.4,0.759,12.0,12.0,1078.86
Salem,Turmeric,Rabi (Nov-Mar),605.4,27.1,0.28,610.0,14920.0,33.6,0.618,12.0,4.75,1629.49
Thanjavur,Mango,Year-round,1133.9,28.8,0.871,682.0,4956.0,51.7,0.646,12.0,0.68,219.61
Mayiladuthurai,Vegetables,Kharif (Jun-Oct),1733.1,33.0,1.0,589.0,8351.0,11.4,0.86,12.0,4.63,405.37
Tiruchirappalli,Onion,Zaid (Apr-May),280.3,33.4,0.503,753.0,14875.0,52.8,0.4,12.0,2.91,1214.63
Nagapattinam,Banana,Rabi (Nov-Mar),928.3,26.0,0.661,591.0,4486.0,63.7,0.613,12.0,2.17,596.9
Cuddalore,Vegetables,Zaid (Apr-May),409.0,32.1,0.368,653.0,4345.0,37.7,0.472,12.0,4.68,475.54
Kanniyakumari,Paddy (Kuruvai),Kharif (Jun-Oct),2123.5,33.5,0.653,1194.0,8303.0,7.3,0.95,12.0,2.17,976.6
Tiruchirappalli,Cotton,Zaid (Apr-May),336.4,38.6,0.586,777.0,3244.0,72.2,0.422,12.0,1.38,376.03
Thiruvarur,Mango,Zaid (Apr-May),370.7,38.7,0.726,362.0,3968.0,70.0,0.33,12.0,1.92,383.21
Nilgiris,Coconut,Year-round,2470.8,31.1,0.632,205.0,7492.0,22.3,0.95,12.0,4.72,580.53
Mayiladuthurai,Paddy (Samba),Kharif (Jun-Oct),1655.6,30.9,0.965,670.0,6557.0,53.7,0.827,12.0,1.32,808.02
Salem,Paddy (Samba),Kharif (Jun-Oct),1207.8,34.4,0.433,646.0,6291.0,66.8,0.709,12.0,1.17,944.93
Villupuram,Sugarcane,Rabi (Nov-Mar),676.1,28.1,0.336,417.0,3588.0,53.0,0.482,12.0,1.57,899.08
Kallakurichi,Turmeric,Kharif (Jun-Oct),1490.0,29.4,0.483,394.0,9302.0,16.4,0.834,12.0,0.29,684.3
Tirupathur,Coconut,Kharif (Jun-Oct),1177.6,33.9,0.758,494.0,6842.0,25.6,0.676,12.0,0.61,505.63
Dharmapuri,Tapioca,Kharif (Jun-Oct),1269.5,33.5,0.673,331.0,3256.0,55.5,0.695,12.0,2.85,205.3
Perambalur,Mango,Zaid (Apr-May),268.5,40.2,0.333,233.0,4070.0,76.5,0.395,12.0,3.44,459.25
Vellore,Turmeric,Zaid (Apr-May),461.3,38.2,0.136,785.0,2350.0,59.6,0.49,12.0,3.04,332.22
Coimbatore,Groundnut,Kharif (Jun-Oct),1033.8,33.0,0.978,779.0,5664.0,37.6,0.76,12.0,2.33,230.32
Tiruchirappalli,Maize,Kharif (Jun-Oct),1154.9,28.6,0.834,799.0,12619.0,55.4,0.702,12.0,4.08,538.09
Nagapattinam,Sugarcane,Year-round,1211.8,32.3,0.734,543.0,10237.0,67.1,0.728,12.0,3.94,1554.82
Nilgiris,Paddy (Samba),Rabi (Nov-Mar),1852.6,26.4,0.486,252.0,4257.0,26.9,0.95,12.0,4.04,806.43
Kanniyakumari,Turmeric,Zaid (Apr-May),642.8,43.5,0.437,1132.0,3372.0,62.2,0.46,12.0,4.65,501.12
Pudukkottai,Sugarcane,Zaid (Apr-May),238.9,43.7,0.264,348.0,12807.0,68.4,0.375,12.0,3.55,4597.56
Ramanathapuram,Millets,Kharif (Jun-Oct),897.0,33.7,0.717,182.0,3853.0,77.5,0.683,12.0,3.69,121.79
Theni,Turmeric,Kharif (Jun-Oct),1283.0,31.8,0.498,426.0,793.0,28.1,0.607,12.0,3.04,81.16
Coimbatore,Paddy (Kuruvai),Zaid (Apr-May),204.7,38.7,0.618,766.0,1718.0,80.0,0.452,12.0,0.93,389.71
Chennai,Mango,Kharif (Jun-Oct),2019.3,30.4,0.599,26514.0,12128.0,46.0,0.95,12.0,9.78,1158.35
Vellore,Banana,Year-round,1094.4,28.8,0.277,788.0,5466.0,27.3,0.746,12.0,2.59,610.9
Perambalur,Pulses,Rabi (Nov-Mar),523.7,26.3,0.357,316.0,9282.0,54.6,0.395,12.0,2.54,434.09
Ranipet,Millets,Zaid (Apr-May),373.5,36.6,0.297,718.0,3203.0,68.4,0.418,12.0,3.13,216.2
Mayiladuthurai,Paddy (Kuruvai),Zaid (Apr-May),314.9,37.6,0.591,613.0,13030.0,44.7,0.443,12.0,2.23,3072.57
Thanjavur,Banana,Rabi (Nov-Mar),671.9,27.7,0.815,640.0,7290.0,78.8,0.461,12.0,5.12,1033.94
Ariyalur,Millets,Year-round,920.9,29.6,0.694,269.0,2238.0,77.3,0.618,12.0,1.21,59.94
Tiruvannamalai,Groundnut,Zaid (Apr-May),363.0,42.0,0.778,546.0,4088.0,70.8,0.38,12.0,2.37,298.79
Coimbatore,Tapioca,Rabi (Nov-Mar),607.1,25.7,0.926,781.0,6111.0,52.1,0.487,12.0,4.26,368.4
Vellore,Mango,Zaid (Apr-May),297.1,38.7,0.171,832.0,8614.0,48.2,0.408,12.0,1.64,1021.75
Chennai,Millets,Zaid (Apr-May),373.7,36.4,0.33,26533.0,12363.0,80.0,0.356,12.0,11.14,1317.34
Tiruchirappalli,Paddy (Samba),Zaid (Apr-May),136.2,38.7,0.517,749.0,14929.0,52.1,0.294,12.0,4.9,4765.74
Chengalpattu,Cotton,Rabi (Nov-Mar),915.5,26.2,0.763,1095.0,6395.0,74.3,0.588,12.0,4.79,491.4
Tenkasi,Tomato,Year-round,1029.4,29.6,0.902,440.0,11879.0,74.6,0.613,12.0,0.46,615.69
Tenkasi,Groundnut,Kharif (Jun-Oct),1648.4,30.5,0.985,431.0,11853.0,22.0,0.86,12.0,3.47,492.6
Perambalur,Banana,Kharif (Jun-Oct),1266.8,30.2,0.572,236.0,9441.0,32.5,0.642,12.0,3.83,966.89
Nilgiris,Paddy (Samba),Zaid (Apr-May),563.1,37.0,0.4,246.0,5941.0,55.4,0.412,12.0,3.77,1869.3
Ariyalur,Pulses,Year-round,981.4,32.2,0.662,311.0,5225.0,68.6,0.619,12.0,3.22,147.42
Chennai,Cotton,Kharif (Jun-Oct),1950.3,29.6,0.612,26528.0,5360.0,24.5,0.854,12.0,10.65,821.44
Namakkal,Banana,Kharif (Jun-Oct),1082.5,36.1,0.451,562.0,5860.0,35.1,0.663,12.0,1.88,618.21
Tirupathur,Paddy (Kuruvai),Kharif (Jun-Oct),1161.0,33.5,0.715,538.0,980.0,36.5,0.692,12.0,3.69,119.91
Theni,Sugarcane,Zaid (Apr-May),265.6,36.4,0.215,461.0,1642.0,76.5,0.409,12.0,5.03,572.77
Kallakurichi,Mango,Kharif (Jun-Oct),1413.2,31.3,0.594,365.0,6324.0,27.0,0.771,12.0,2.55,345.24
Nagapattinam,Vegetables,Kharif (Jun-Oct),1708.2,34.2,0.7,574.0,13876.0,50.1,0.913,12.0,4.32,717.33
Namakkal,Turmeric,Kharif (Jun-Oct),1078.9,30.8,0.581,563.0,5793.0,67.5,0.699,12.0,3.28,423.54
Thiruvarur,Paddy (Samba),Zaid (Apr-May),377.2,37.3,0.735,430.0,12901.0,47.2,0.318,12.0,0.75,3333.02
Sivaganga,Turmeric,Year-round,750.4,30.9,0.284,353.0,5657.0,47.7,0.425,12.0,3.65,451.11
Tiruvannamalai,Paddy (Samba),Zaid (Apr-May),247.2,37.2,0.74,566.0,9418.0,80.0,0.46,12.0,2.4,2636.42
Perambalur,Tapioca,Year-round,681.7,29.7,0.447,253.0,8807.0,40.5,0.538,12.0,1.02,588.18
Virudhunagar,Mango,Kharif (Jun-Oct),879.4,31.1,0.725,549.0,4760.0,73.0,0.632,12.0,3.31,255.42
Dindigul,Mango,Rabi (Nov-Mar),600.5,30.3,0.694,391.0,5477.0,54.3,0.494,12.0,0.56,375.16
Coimbatore,Turmeric,Rabi (Nov-Mar),447.1,27.7,0.748,754.0,8335.0,74.9,0.513,12.0,3.33,791.96
Virudhunagar,Paddy (Kuruvai),Zaid (Apr-May),195.5,40.8,0.469,520.0,12743.0,80.0,0.389,12.0,1.09,3040.8
Ranipet,Coconut,Zaid (Apr-May),354.8,36.3,0.411,718.0,1326.0,58.5,0.533,12.0,0.25,224.89
Tirupattur,Cotton,Year-round,1045.1,28.6,0.731,438.0,3517.0,32.4,0.638,12.0,5.09,206.06
Dindigul,Pulses,Year-round,783.6,31.7,0.716,413.0,10226.0,64.7,0.559,12.0,1.66,337.94
Ramanathapuram,Paddy (Kuruvai),Year-round,705.9,31.3,0.684,203.0,7674.0,41.1,0.486,12.0,0.67,866.94
Madurai,Coconut,Zaid (Apr-May),242.1,38.4,0.537,1083.0,13236.0,50.9,0.394,12.0,2.64,2112.12
Tirupur,Paddy (Samba),Rabi (Nov-Mar),573.3,27.6,0.363,925.0,14764.0,61.2,0.509,12.0,0.34,2711.83
Coimbatore,Sugarcane,Rabi (Nov-Mar),568.2,25.3,0.896,733.0,2378.0,80.0,0.45,12.0,1.93,409.29
Kanchipuram,Vegetables,Year-round,1334.8,30.6,0.897,1079.0,7416.0,72.6,0.699,12.0,3.18,382.9
Ramanathapuram,Groundnut,Rabi (Nov-Mar),561.4,22.2,0.511,171.0,12718.0,78.1,0.473,11.9,1.67,741.38
Nilgiris,Groundnut,Year-round,2522.0,29.4,0.654,219.0,3318.0,41.9,0.95,12.0,0.89,129.37
Chennai,Maize,Zaid (Apr-May),231.5,37.4,0.292,26570.0,4111.0,80.0,0.402,12.0,8.95,1046.79
Dharmapuri,Pulses,Zaid (Apr-May),227.0,40.3,0.437,281.0,9160.0,79.9,0.368,12.0,2.67,643.8
